,Loss,Method,Time,Dataset
0,0.9552838206291199,MCML 50D,562.7073187697679,10x VMH
1,0.453261137008667,NCA 50D,3623.6491643488407,10x VMH
2,0.956879734992981,MCML 50D,556.0539896935225,10x VMH
3,0.4552645683288574,NCA 50D,3615.831475984305,10x VMH
4,0.9581155180931091,MCML 50D,543.680362759158,10x VMH
5,0.44880032539367676,NCA 50D,3652.604933110997,10x VMH
6,0.9842170476913452,MCML 50D,52.62788474187255,MERFISH
7,0.8344565033912659,NCA 50D,77.58782682847232,MERFISH
8,0.9918838143348694,MCML 50D,52.20622009038925,MERFISH
9,0.8091925382614136,NCA 50D,47.10324274003506,MERFISH
10,0.9763739109039307,MCML 50D,55.346508553251624,MERFISH
11,0.8254362940788269,NCA 50D,94.84483575355262,MERFISH
